,gender,age_range,age,race,charges,prior_arrest,compas_score,score_numeric
48,Male,25 - 45,38,African-American,Burglary Structure Assault/Batt,5,Low,4
49,Male,Greater than 45,53,Caucasian,Fel Drive License Perm Revoke,19,Medium,2
50,Male,Greater than 45,49,Other,Agg Fleeing and Eluding,7,Low,2
51,Male,25 - 45,26,Caucasian,Operating W/O Valid License,6,High,8
52,Female,25 - 45,33,Caucasian,Battery,4,Medium,2
53,Male,Less than 25,24,Caucasian,Battery,1,Low,3
54,Male,25 - 45,34,African-American,Poss Wep Conv Felon,21,High,6
55,Male,25 - 45,29,Caucasian,Possess Cannabis/20 Grams Or Less,0,Low,2
56,Female,Less than 25,21,African-American,arrest case no charge,2,High,8
57,Male,Greater than 45,51,African-American,Unlaw Use False Name/Identity,2,Low,1
58,Male,25 - 45,36,African-American,,0,Low,1
59,Male,25 - 45,29,Caucasian,Viol Injunct Domestic Violence,2,Low,2
60,Male,25 - 45,25,African-American,Burglary Unoccupied Dwelling,0,Medium,7
61,Female,Greater than 45,51,African-American,Possession of Cocaine,7,Low,2
62,Male,25 - 45,28,Caucasian,Possession of Cocaine,8,Medium,4
63,Male,25 - 45,36,African-American,Burglary Dwelling Occupied,22,High,10
64,Male,25 - 45,29,African-American,Defrauding Innkeeper $300/More,0,Medium,2
65,Male,25 - 45,29,Other,Battery,0,Low,2
66,Male,25 - 45,25,Caucasian,Battery,9,High,9
67,Male,25 - 45,35,African-American,Uttering a Forged Instrument,13,High,3
68,Male,Greater than 45,49,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,1
69,Male,25 - 45,34,African-American,Driving License Suspended,4,Low,2
70,Male,25 - 45,29,African-American,Tampering With Physical Evidence,0,Low,3
71,Male,25 - 45,29,Caucasian,Possession of Oxycodone,1,Low,2
72,Female,25 - 45,28,Other,Grand Theft in the 3rd Degree,0,Low,2
73,Male,Greater than 45,51,Caucasian,Grand Theft in the 3rd Degree,0,Low,1
74,Male,25 - 45,25,Caucasian,Possession of Cocaine,0,Low,3
75,Male,Greater than 45,48,Caucasian,arrest case no charge,20,Medium,4
76,Male,25 - 45,33,Caucasian,Grand Theft Dwell Property,1,High,10
77,Female,Greater than 45,63,Hispanic,arrest case no charge,1,Low,1
78,Male,25 - 45,30,African-American,Possession of Cocaine,3,Medium,4
79,Male,25 - 45,31,African-American,Attempt Armed Burglary Dwell,15,Medium,7
80,Male,Less than 25,24,African-American,Poss Tetrahydrocannabinols,2,Low,4
81,Male,25 - 45,27,African-American,Felony Driving While Lic Suspd,0,Medium,3
82,Male,25 - 45,32,Caucasian,Tampering With Physical Evidence,3,High,2
83,Male,25 - 45,30,Hispanic,Possess Cannabis/20 Grams Or Less,0,Medium,3
84,Male,Greater than 45,49,African-American,Battery,4,Low,1
85,Male,Greater than 45,53,Caucasian,arrest case no charge,8,Medium,2
86,Female,25 - 45,31,Hispanic,Battery,0,Low,1
87,Male,25 - 45,35,African-American,Driving While License Revoked,5,Low,2
88,Male,Greater than 45,63,African-American,Possess Drug Paraphernalia,10,Medium,5
89,Male,25 - 45,33,African-American,Agg Battery Grt/Bod/Harm,2,Low,1
90,Male,25 - 45,27,African-American,Driving While License Revoked,15,High,9
91,Male,25 - 45,38,Caucasian,Battery,4,Low,2
92,Male,Greater than 45,46,Caucasian,Grand Theft in the 3rd Degree,9,Medium,3
93,Male,Less than 25,22,African-American,Poss Firearm W/Altered ID#,1,Low,6
94,Female,25 - 45,34,Caucasian,Battery,0,Low,1
95,Male,Less than 25,22,African-American,Sell Conterfeit Cont Substance,2,High,9
96,Male,25 - 45,29,African-American,arrest case no charge,4,High,5
97,Male,Greater than 45,62,Hispanic,Unlaw LicTag/Sticker Attach,0,Low,1
98,Male,25 - 45,27,African-American,Aggravated Battery / Pregnant,6,Medium,3
99,Male,25 - 45,33,Other,Battery,0,Low,1
100,Female,Greater than 45,56,African-American,Battery,0,Low,1
101,Male,Greater than 45,45,Hispanic,Possession of Cocaine,6,Low,1
102,Male,Less than 25,22,Hispanic,Burglary Structure Unoccup,1,Low,6
103,Female,25 - 45,31,Caucasian,Felony Driving While Lic Suspd,2,Low,2
104,Male,25 - 45,34,African-American,False Imprisonment,0,Low,4
105,Male,25 - 45,39,African-American,arrest case no charge,1,Low,2
106,Male,Less than 25,24,African-American,Battery,4,Medium,4
107,Male,25 - 45,29,African-American,False Name By Person Arrest,5,Medium,3
108,Male,25 - 45,27,Caucasian,arrest case no charge,1,Medium,3
109,Male,25 - 45,41,African-American,,0,Low,1
110,Female,Less than 25,24,Hispanic,DUI Property Damage/Injury,1,Low,2
111,Male,25 - 45,40,African-American,arrest case no charge,2,Low,1
112,Male,Greater than 45,51,African-American,arrest case no charge,1,Low,1
113,Male,Less than 25,22,African-American,Battery,1,Low,3
114,Male,Less than 25,22,Caucasian,Grand Theft in the 3rd Degree,0,High,6
115,Female,25 - 45,26,African-American,Poss Cocaine/Intent To Del/Sel,1,Low,3
116,Male,25 - 45,27,Caucasian,Burglary Dwelling Assault/Batt,1,Medium,8
117,Female,Greater than 45,59,African-American,arrest case no charge,2,Low,1
118,Male,25 - 45,32,Caucasian,Driving Under The Influence,3,Low,3
119,Male,25 - 45,32,African-American,Felony Battery (Dom Strang),0,Low,1
120,Male,25 - 45,41,African-American,arrest case no charge,1,Low,2
121,Male,Greater than 45,50,Caucasian,Battery,0,Low,1
122,Male,25 - 45,30,African-American,Possess Cannabis/20 Grams Or Less,8,High,9
123,Male,Greater than 45,66,African-American,arrest case no charge,0,High,3
124,Male,Greater than 45,52,African-American,Driving While License Revoked,3,Medium,1
125,Male,25 - 45,36,African-American,,0,Medium,5
126,Male,Less than 25,22,Caucasian,Burglary Conveyance Unoccup,3,Medium,5
127,Male,Greater than 45,50,Other,arrest case no charge,0,Low,2
128,Male,25 - 45,25,African-American,arrest case no charge,14,High,10
129,Female,25 - 45,44,Caucasian,,0,Low,1
130,Male,Less than 25,20,Other,Tampering With Physical Evidence,0,Medium,8
131,Male,Less than 25,22,African-American,Attempted Burg/struct/unocc,2,High,10
132,Male,Less than 25,23,African-American,arrest case no charge,2,Medium,8
133,Male,Greater than 45,54,African-American,arrest case no charge,6,Medium,5
134,Male,25 - 45,40,Caucasian,arrest case no charge,4,Medium,4
135,Male,25 - 45,25,African-American,arrest case no charge,10,Medium,6
136,Female,25 - 45,35,African-American,arrest case no charge,1,Low,1
137,Male,25 - 45,36,African-American,Deliver Cocaine,9,Medium,6
138,Male,25 - 45,26,Caucasian,Possession Burglary Tools,7,High,4
139,Male,Less than 25,21,Other,Grand Theft in the 3rd Degree,1,Medium,6
140,Female,25 - 45,28,African-American,,0,Low,3
141,Male,25 - 45,30,Caucasian,Burglary Conveyance Unoccup,6,Medium,4
142,Male,25 - 45,25,Caucasian,Pos Cannabis W/Intent Sel/Del,9,High,9
143,Male,Greater than 45,71,African-American,Possess Cannabis/20 Grams Or Less,12,Medium,3
144,Male,25 - 45,34,African-American,Battery,3,Low,2
145,Female,Less than 25,20,Caucasian,"Poss3,4 Methylenedioxymethcath",0,Medium,8
146,Male,25 - 45,39,Caucasian,Possession Of Alprazolam,2,Low,1
147,Male,Greater than 45,66,Caucasian,Flee/Elude LEO-Agg Flee Unsafe,3,Low,1
148,Female,Greater than 45,54,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,1
149,Male,25 - 45,28,African-American,,0,Low,5
150,Female,25 - 45,44,Hispanic,Battery,0,Low,1
151,Male,Less than 25,19,African-American,Battery,1,Low,7
152,Male,Less than 25,24,African-American,arrest case no charge,1,Low,3
153,Male,25 - 45,30,African-American,Fail To Redeliv Hire/Leas Prop,1,Low,2
154,Female,25 - 45,39,Caucasian,Aggravated Assault W/Dead Weap,0,Low,1
155,Female,25 - 45,32,African-American,Battery,8,Low,1
156,Male,Less than 25,24,Caucasian,False Ownership Info/Pawn Item,8,Medium,6
157,Male,25 - 45,30,Caucasian,Possession Of Methamphetamine,0,Low,2
158,Male,25 - 45,31,Caucasian,Battery,0,Medium,2
159,Female,25 - 45,39,Caucasian,Possession of Morphine,1,Low,3
160,Male,Greater than 45,59,African-American,arrest case no charge,14,High,4
161,Male,25 - 45,35,Caucasian,Felony Driving While Lic Suspd,7,Medium,3
162,Female,Less than 25,24,Other,Aggrav Battery w/Deadly Weapon,0,Low,4
163,Male,25 - 45,43,Caucasian,Possession of Cocaine,1,Low,1
164,Male,Less than 25,21,African-American,Tampering With Physical Evidence,2,High,6
165,Female,Less than 25,21,African-American,Battery,0,Low,4
166,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,3,High,6
167,Male,25 - 45,27,African-American,Driving While License Revoked,0,Medium,3
168,Male,Less than 25,20,African-American,arrest case no charge,0,High,6
169,Male,25 - 45,38,Caucasian,Possess Cannabis/20 Grams Or Less,5,Low,3
170,Male,25 - 45,27,African-American,Robbery / No Weapon,3,High,4
171,Male,25 - 45,34,Caucasian,Aggravated Assault w/Firearm,0,Medium,5
172,Male,25 - 45,30,African-American,Possession of Cocaine,3,Low,3
173,Male,25 - 45,33,African-American,Poss Contr Subst W/o Prescript,5,Medium,2
174,Male,25 - 45,37,African-American,"Poss3,4 Methylenedioxymethcath",3,Low,1
175,Male,25 - 45,42,Caucasian,Aggrav Stalking After Injunctn,1,Low,2
176,Male,25 - 45,41,African-American,Possession of Cocaine,10,High,7
177,Male,Less than 25,22,African-American,Uttering a Forged Instrument,0,Low,7
178,Male,25 - 45,33,African-American,Driving While License Revoked,28,High,5
179,Male,25 - 45,44,Caucasian,Criminal Mischief Damage <$200,0,Low,1
180,Male,25 - 45,31,African-American,Battery,1,Medium,8
181,Male,25 - 45,26,African-American,Felony Driving While Lic Suspd,9,High,7
182,Female,25 - 45,30,Other,Crim Use of Personal ID Info,1,Low,2
183,Male,25 - 45,31,Caucasian,arrest case no charge,13,High,7
184,Male,25 - 45,27,African-American,Possession of Cocaine,3,High,4
185,Female,25 - 45,31,Caucasian,Grand Theft (Motor Vehicle),1,Low,2
186,Male,Greater than 45,47,Hispanic,Grand Theft in the 3rd Degree,2,Low,1
187,Male,Greater than 45,56,African-American,arrest case no charge,8,High,3
188,Male,25 - 45,33,Asian,Failure To Pay Taxi Cab Charge,2,High,8
189,Male,Greater than 45,52,Caucasian,Battery,3,High,6
190,Male,25 - 45,33,African-American,arrest case no charge,19,High,7
191,Male,Greater than 45,61,Caucasian,Obstruct Officer W/Violence,0,Low,1
192,Female,Greater than 45,64,Caucasian,Resist/Obstruct W/O Violence,2,Low,1
193,Male,Less than 25,22,Caucasian,Possession Of Alprazolam,4,Medium,8
194,Male,25 - 45,42,Caucasian,Possession Of Alprazolam,6,Low,1
195,Female,25 - 45,25,Caucasian,arrest case no charge,2,Low,5
196,Male,25 - 45,27,Caucasian,Grand Theft in the 3rd Degree,0,Low,2
197,Male,25 - 45,30,Caucasian,Agg Fleeing and Eluding,1,Low,2
198,Male,Less than 25,23,African-American,,0,Low,3
199,Male,25 - 45,28,Caucasian,arrest case no charge,2,Low,2
200,Female,25 - 45,37,Other,Petit Theft,2,Low,1
201,Male,Less than 25,21,Caucasian,Possession of Cannabis,1,Medium,6
202,Male,25 - 45,28,Caucasian,Disorderly Intoxication,0,Low,3
203,Female,Less than 25,24,African-American,Battery,0,Low,3
204,Male,25 - 45,37,African-American,arrest case no charge,13,High,7
205,Male,Less than 25,22,African-American,Burglary Unoccupied Dwelling,0,High,8
206,Female,25 - 45,29,Caucasian,Grand Theft in the 3rd Degree,10,Low,2
207,Female,25 - 45,25,Caucasian,Uttering a Forged Instrument,0,Low,3
208,Male,25 - 45,44,Caucasian,Battery,2,Low,1
209,Female,25 - 45,30,Hispanic,Battery on Law Enforc Officer,4,Medium,5
210,Male,25 - 45,32,African-American,Possession of Cocaine,3,Medium,3
211,Male,Greater than 45,53,Hispanic,Resist Officer w/Violence,1,Low,1
212,Male,25 - 45,34,Other,Battery,1,Low,1
213,Male,25 - 45,31,Caucasian,Resist/Obstruct W/O Violence,2,Low,3
214,Male,25 - 45,27,African-American,Possession of Cocaine,5,High,10
215,Male,25 - 45,31,African-American,Lewdness Violation,1,Low,3
216,Male,Greater than 45,59,Caucasian,Possession of Cocaine,1,Low,1
217,Male,25 - 45,28,African-American,Poss of Firearm by Convic Felo,15,High,8
218,Female,Greater than 45,45,Caucasian,arrest case no charge,4,Low,3
219,Male,Less than 25,23,Caucasian,Driving Under The Influence,0,Low,3
220,Female,Less than 25,20,African-American,arrest case no charge,1,High,10
221,Male,25 - 45,42,African-American,arrest case no charge,2,Low,1
222,Female,25 - 45,43,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,1
223,Male,25 - 45,38,African-American,Possession of Cocaine,9,High,4
224,Male,25 - 45,32,African-American,Poss Pyrrolidinovalerophenone,11,Medium,5
225,Male,25 - 45,33,African-American,Assault,8,Medium,2
226,Male,Greater than 45,55,African-American,arrest case no charge,4,High,3
227,Female,25 - 45,31,African-American,Possession of Oxycodone,0,Low,2
228,Female,25 - 45,33,African-American,Possession of Cocaine,7,High,9
229,Male,25 - 45,27,African-American,Tampering With Physical Evidence,2,High,8
230,Male,Greater than 45,52,African-American,Assault,0,Low,1
231,Female,Less than 25,20,African-American,Grand Theft in the 3rd Degree,0,Medium,8
232,Female,25 - 45,26,Caucasian,Fail To Obey Police Officer,0,Medium,3
233,Male,25 - 45,25,African-American,Burglary Dwelling Occupied,4,High,10
234,Female,Greater than 45,61,African-American,Solicit Purchase Cocaine,1,Low,1
235,Male,Greater than 45,52,Other,Felony Petit Theft,13,Medium,6
236,Male,Greater than 45,63,Hispanic,arrest case no charge,1,Low,1
237,Male,25 - 45,40,Hispanic,,0,Low,1
238,Female,25 - 45,32,African-American,arrest case no charge,4,High,9
239,Male,25 - 45,29,Hispanic,Grand Theft in the 3rd Degree,1,Low,4
240,Female,Greater than 45,46,Other,Grand Theft in the 1st Degree,1,Low,1
241,Female,25 - 45,26,African-American,Driving Under The Influence,2,Low,4
242,Male,Greater than 45,55,African-American,Battery,3,Low,1
243,Male,25 - 45,39,Caucasian,,1,Low,4
244,Female,25 - 45,30,Caucasian,Possession Of Carisoprodol,3,Medium,4
245,Male,25 - 45,30,African-American,Burglary Conveyance Assault/Bat,1,Medium,8
246,Male,Greater than 45,48,Caucasian,Battery,2,Low,1
247,Male,25 - 45,33,Caucasian,Felony Battery (Dom Strang),0,Low,1
248,Male,Less than 25,22,African-American,arrest case no charge,1,Low,4
249,Male,Greater than 45,46,Caucasian,Driving While License Revoked,6,Low,1
250,Male,25 - 45,41,Caucasian,Felony Petit Theft,5,High,4
251,Female,Greater than 45,49,Caucasian,Crim Use of Personal ID Info,6,Medium,2
252,Male,25 - 45,31,Caucasian,"Deliver 3,4 Methylenediox",0,Medium,4
253,Male,25 - 45,31,African-American,Battery,0,Low,2
254,Male,25 - 45,25,African-American,Battery,1,Low,3
255,Male,25 - 45,31,African-American,Burglary Dwelling Armed,3,Low,2
256,Female,Less than 25,21,African-American,Battery,0,Medium,6
257,Male,Less than 25,23,Hispanic,"Poss3,4 Methylenedioxymethcath",0,Low,5
258,Female,25 - 45,32,African-American,Aggravated Assault W/dead Weap,5,Medium,3
259,Male,Greater than 45,52,Hispanic,Leave Acc/Attend Veh/More $50,2,Low,1
260,Male,Greater than 45,62,African-American,Possession of Cocaine,8,Low,1
261,Male,25 - 45,30,African-American,Battery,2,Medium,4
262,Female,25 - 45,37,Caucasian,Possession of Cocaine,6,High,4
263,Male,Greater than 45,55,Caucasian,Grand Theft in the 3rd Degree,1,Low,1
264,Male,25 - 45,31,Hispanic,arrest case no charge,8,High,7
265,Male,25 - 45,28,African-American,Resist/Obstruct W/O Violence,6,Medium,6
266,Male,Greater than 45,54,Hispanic,Burglary Unoccupied Dwelling,2,Low,1
267,Male,Greater than 45,58,Hispanic,Possession Of Heroin,0,Low,1
268,Male,Greater than 45,78,Caucasian,Driving Under The Influence,1,Low,1
269,Male,Greater than 45,56,Caucasian,Possession of Cocaine,0,Low,1
270,Male,Less than 25,21,Hispanic,Possess Cannabis/20 Grams Or Less,1,High,8
271,Male,Less than 25,24,Other,Burglary Unoccupied Dwelling,0,Low,4
272,Male,25 - 45,38,African-American,Child Abuse,22,High,5
273,Male,25 - 45,39,African-American,Poss Of Controlled Substance,3,Medium,1
274,Male,25 - 45,35,Caucasian,Possession of Cocaine,0,Low,1
275,Male,Less than 25,22,African-American,Pos Cannabis W/Intent Sel/Del,1,Medium,5
276,Male,Less than 25,21,Hispanic,,0,Medium,6
277,Male,Greater than 45,47,African-American,Possess Cannabis/20 Grams Or Less,23,High,1
278,Male,Less than 25,23,African-American,Battery,0,Low,4
279,Male,Greater than 45,57,Hispanic,Driving While License Revoked,1,Low,1
280,Female,25 - 45,38,Caucasian,Possession of Cocaine,2,Medium,2
281,Male,Greater than 45,66,African-American,Agg Battery Grt/Bod/Harm,3,Low,1
282,Male,Greater than 45,45,Caucasian,Viol Injunct Domestic Violence,8,Low,3
283,Female,25 - 45,28,Caucasian,Petit Theft $100- $300,0,Medium,2
284,Male,Greater than 45,45,Other,Unlaw Fail Secur Work Comp Ins,2,Low,1
285,Female,Greater than 45,52,Other,,0,Low,1
286,Male,25 - 45,32,African-American,Poss Cocaine/Intent To Del/Sel,13,High,7
287,Male,25 - 45,37,African-American,Battery,2,High,8
288,Male,25 - 45,39,Caucasian,Possession Of Methamphetamine,0,Low,4
289,Male,25 - 45,26,African-American,Deliver Cocaine,9,High,8
290,Male,25 - 45,25,African-American,arrest case no charge,3,High,8
291,Male,Greater than 45,45,Caucasian,Lewd or Lascivious Molestation,2,Low,4
292,Female,Greater than 45,57,Caucasian,Possession of Cocaine,7,High,1
293,Male,Less than 25,23,African-American,Possession of Cannabis,0,Low,4
294,Male,25 - 45,34,African-American,Battery,2,Low,1
295,Male,25 - 45,38,African-American,Possession of Oxycodone,14,High,8
296,Female,25 - 45,36,African-American,,0,Low,4
297,Female,Less than 25,23,African-American,Battery,1,Low,4
298,Male,25 - 45,36,Other,Battery,2,Low,1
299,Male,Greater than 45,50,Caucasian,Sexual Performance by a Child,1,Low,1
300,Female,25 - 45,37,Caucasian,Leaving Acc/Unattended Veh,0,Low,1
301,Male,25 - 45,44,Caucasian,Battery,4,Low,4
302,Female,25 - 45,35,African-American,Felony Petit Theft,23,High,9
303,Male,25 - 45,31,Caucasian,arrest case no charge,1,Low,1
304,Male,Less than 25,24,Other,arrest case no charge,5,Medium,4
305,Male,25 - 45,40,Asian,Robbery W/Firearm,3,Low,1
306,Male,25 - 45,26,African-American,Fleeing Or Attmp Eluding A Leo,2,High,8
307,Male,25 - 45,37,Other,Felony DUI (level 3),1,Medium,2
308,Male,25 - 45,27,African-American,Criminal Mischief,0,Low,3
309,Female,25 - 45,31,Caucasian,Battery,1,Low,2
310,Female,25 - 45,28,African-American,Aggrav Battery w/Deadly Weapon,0,High,6
311,Male,25 - 45,43,Caucasian,arrest case no charge,11,Medium,3
312,Male,25 - 45,42,African-American,,0,Medium,6
313,Female,25 - 45,28,Caucasian,Felony Petit Theft,7,High,6
314,Male,25 - 45,38,African-American,Driving While License Revoked,0,Low,1
315,Male,25 - 45,38,African-American,Driving While License Revoked,2,Low,1
316,Male,25 - 45,27,Caucasian,Trespass Struct/Conveyance,2,Low,3
317,Female,25 - 45,28,African-American,arrest case no charge,1,High,7
318,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,1,Medium,8
319,Male,Greater than 45,56,Caucasian,Felony Driving While Lic Suspd,7,Low,1
320,Male,25 - 45,38,African-American,Possession of Cocaine,15,High,3
321,Male,25 - 45,28,African-American,Possess Cannabis/20 Grams Or Less,2,Medium,4
322,Male,Greater than 45,45,African-American,arrest case no charge,3,Medium,4
323,Male,25 - 45,28,Hispanic,DUI Property Damage/Injury,0,Low,3
324,Female,Less than 25,24,Other,arrest case no charge,1,Low,2
325,Male,Greater than 45,61,Caucasian,arrest case no charge,1,Low,1
326,Female,Greater than 45,51,Caucasian,Driving Under The Influence,0,Low,1
327,Male,Greater than 45,51,Caucasian,Battery,0,Low,2
328,Male,Less than 25,20,Caucasian,Poss Similitude of Drivers Lic,0,Low,7
329,Male,25 - 45,36,Other,Possess Cannabis/20 Grams Or Less,1,Low,1
330,Male,Greater than 45,48,African-American,Aggravated Battery (Firearm/Actual Possession),0,Low,1
331,Male,25 - 45,37,Caucasian,arrest case no charge,4,Low,4
332,Female,25 - 45,30,African-American,Grand Theft in the 3rd Degree,2,Medium,4
333,Female,25 - 45,41,African-American,Battery,5,Medium,3
334,Male,25 - 45,27,African-American,Robbery / No Weapon,11,High,9
335,Male,25 - 45,37,African-American,Battery,0,Low,1
336,Male,25 - 45,33,Other,Aggravated Assault w/Firearm,4,Low,2
337,Male,Greater than 45,54,African-American,Grand Theft (Motor Vehicle),11,High,9
338,Male,Less than 25,23,African-American,Robbery / Weapon,2,High,5
339,Male,Less than 25,22,African-American,arrest case no charge,0,Medium,5
340,Male,Greater than 45,68,Caucasian,,0,Low,2
341,Female,25 - 45,26,African-American,arrest case no charge,2,Low,6
342,Female,Less than 25,23,African-American,Aggravated Assault W/Dead Weap,3,Medium,6
343,Female,25 - 45,32,African-American,,0,Low,1
344,Male,25 - 45,41,African-American,Battery,0,Low,1
345,Male,Greater than 45,52,Caucasian,Burglary With Assault/battery,0,Low,1
346,Male,Less than 25,23,African-American,,0,High,6
347,Male,25 - 45,43,Caucasian,Driving While License Revoked,13,Low,1
348,Male,Greater than 45,52,African-American,Uttering a Forged Instrument,0,Low,3
349,Male,25 - 45,28,Caucasian,arrest case no charge,1,Low,2
350,Male,25 - 45,30,African-American,Battery,11,High,4
351,Male,25 - 45,28,Caucasian,Criminal Mischief,1,Medium,3
352,Male,Greater than 45,47,Caucasian,arrest case no charge,1,Low,3
353,Female,25 - 45,34,African-American,Battery,0,Low,1
354,Male,Less than 25,22,African-American,Pos Cannabis W/Intent Sel/Del,0,Low,6
355,Male,25 - 45,30,African-American,Driving While License Revoked,4,Low,2
356,Male,25 - 45,25,Hispanic,Possession of Cannabis,4,Low,4
357,Male,25 - 45,31,Caucasian,Burglary Unoccupied Dwelling,0,High,5
358,Male,25 - 45,37,Caucasian,Grand Theft in the 3rd Degree,0,Low,1
359,Male,25 - 45,32,African-American,Aggravated Battery / Pregnant,14,High,8
360,Male,25 - 45,26,African-American,Possess Cannabis/20 Grams Or Less,4,High,6
361,Male,Greater than 45,53,Caucasian,Battery,1,Low,1
362,Male,25 - 45,28,African-American,arrest case no charge,25,High,9
363,Male,25 - 45,44,Caucasian,Battery,8,Medium,3
364,Male,25 - 45,25,African-American,Grand Theft in the 3rd Degree,0,Low,4
365,Female,25 - 45,30,Other,Battery,0,Low,1
366,Male,Less than 25,22,Caucasian,Voyeurism,1,High,7
367,Female,25 - 45,30,African-American,arrest case no charge,2,High,8
368,Female,Less than 25,20,African-American,Grand Theft in the 3rd Degree,0,Medium,6
369,Female,25 - 45,37,Other,Battery,0,Low,1
370,Female,25 - 45,33,Caucasian,Poss Contr Subst W/o Prescript,0,Low,1
371,Female,Greater than 45,47,Caucasian,Deliver Cocaine,2,Medium,1
372,Female,25 - 45,40,Other,Driving While License Revoked,3,Low,1
373,Male,Less than 25,24,Other,Battery,0,Low,3
374,Male,25 - 45,36,Caucasian,Felony Driving While Lic Suspd,8,Medium,9
375,Male,25 - 45,30,Caucasian,False Imprisonment,4,Low,2
376,Male,Less than 25,22,African-American,Prowling/Loitering,3,High,9
377,Female,Less than 25,24,Caucasian,Battery,1,Medium,5
378,Male,25 - 45,27,African-American,Viol Prot Injunc Repeat Viol,3,Low,3
379,Female,25 - 45,31,Hispanic,Battery,0,Low,2
380,Male,Greater than 45,47,African-American,Battery,0,Low,2
381,Male,Less than 25,23,Hispanic,arrest case no charge,1,Medium,4
382,Female,Less than 25,23,Caucasian,arrest case no charge,5,Medium,7
383,Male,Less than 25,24,Hispanic,Possess Cannabis/20 Grams Or Less,0,High,7
384,Male,25 - 45,29,African-American,Battery,1,Low,3
385,Male,Less than 25,20,African-American,Carrying Concealed Firearm,1,High,7
386,Male,25 - 45,30,African-American,Carrying Concealed Firearm,2,Medium,5
387,Male,25 - 45,39,Caucasian,Battery,1,Low,1
388,Male,25 - 45,38,African-American,Possess Cannabis/20 Grams Or Less,1,Low,2
389,Male,25 - 45,39,Other,Throw In Occupied Dwell,0,Low,1
